                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.98584,                0.59146,                 1.0274,                0.92095,                0.76368,                0.83095,                0.50314,                 1.3499,                0.66251,                  1.238,             0.00062713,             0.00062713,             0.00062713
                    153,                0.99274,                0.58823,                 1.0348,                0.92493,                0.70684,                 0.8051,                0.49193,                 1.3281,                0.66985,                 1.2339,               0.000623,               0.000623,               0.000623
                    154,                 1.0001,                0.58313,                 1.0315,                0.92607,                0.72068,                0.81675,                 0.5078,                 1.3353,                0.65957,                 1.2407,             0.00061887,             0.00061887,             0.00061887
                    155,                0.98823,                  0.589,                 1.0501,                0.88618,                0.73897,                0.81719,                0.49899,                 1.3199,                0.70402,                 1.2345,             0.00061475,             0.00061475,             0.00061475
                    156,                 1.0274,                0.59609,                 1.0602,                0.92125,                 0.7208,                0.81439,                0.49126,                 1.3744,                0.71067,                 1.2686,             0.00061062,             0.00061062,             0.00061062
                    157,                 1.0118,                0.59705,                 1.0519,                0.91183,                0.70274,                0.81066,                0.49556,                 1.3424,                0.70069,                   1.24,              0.0006065,              0.0006065,              0.0006065
                    158,                0.97391,                0.58814,                 1.0398,                0.91077,                0.72299,                0.82018,                0.49903,                 1.3259,                0.68782,                 1.2444,             0.00060238,             0.00060238,             0.00060238
                    159,                0.99645,                 0.5793,                 1.0448,                0.87735,                0.73266,                0.80979,                0.48288,                 1.3354,                0.71108,                 1.2414,             0.00059825,             0.00059825,             0.00059825
                    160,                0.98835,                0.60327,                 1.0475,                0.84871,                0.76886,                 0.8286,                0.49527,                 1.3679,                0.68653,                 1.2386,             0.00059413,             0.00059413,             0.00059413
                    161,                 1.0014,                0.60427,                 1.0515,                0.87548,                0.77961,                0.83115,                 0.4891,                 1.3874,                0.67793,                 1.2615,                0.00059,                0.00059,                0.00059
                    162,                 1.0078,                0.60811,                 1.0348,                0.92138,                 0.7282,                0.82913,                0.50917,                 1.3211,                0.67927,                 1.2401,             0.00058588,             0.00058588,             0.00058588
                    163,                0.97424,                0.58069,                 1.0288,                0.88608,                0.73921,                0.80564,                0.49602,                 1.3401,                0.69411,                 1.2529,             0.00058175,             0.00058175,             0.00058175
                    164,                0.98458,                0.57429,                 1.0335,                0.95316,                0.70131,                0.80205,                0.49976,                 1.3309,                0.73151,                  1.239,             0.00057763,             0.00057763,             0.00057763
                    165,                0.98427,                0.57618,                   1.03,                0.87389,                0.76145,                0.80749,                0.48157,                 1.3487,                0.71084,                 1.2448,              0.0005735,              0.0005735,              0.0005735
                    166,                0.95368,                0.56455,                 1.0203,                0.92466,                0.72696,                0.81879,                0.50121,                 1.3584,                0.67778,                 1.2394,             0.00056938,             0.00056938,             0.00056938
                    167,                0.97599,                0.59645,                 1.0402,                0.85593,                0.74654,                0.81092,                0.47583,                 1.3762,                 0.7186,                 1.2503,             0.00056525,             0.00056525,             0.00056525
                    168,                0.97945,                0.58695,                 1.0458,                0.89167,                0.76655,                0.82761,                0.49249,                 1.3442,                0.74591,                 1.2534,             0.00056112,             0.00056112,             0.00056112
                    169,                0.96036,                0.56821,                 1.0211,                 0.8873,                0.68858,                0.79084,                 0.4804,                 1.3751,                0.78228,                 1.2551,               0.000557,               0.000557,               0.000557
                    170,                0.98524,                0.58265,                 1.0348,                 0.8225,                0.76586,                0.81378,                0.48498,                 1.3936,                0.73205,                 1.2619,             0.00055287,             0.00055287,             0.00055287
                    171,                0.94499,                0.55499,                 1.0237,                 0.8606,                0.75353,                0.81469,                0.49368,                 1.3305,                 0.6808,                 1.2146,             0.00054875,             0.00054875,             0.00054875
                    172,                0.95642,                0.57934,                 1.0222,                0.87962,                0.75532,                 0.8068,                0.49084,                 1.3279,                0.69194,                 1.2265,             0.00054463,             0.00054463,             0.00054463
                    173,                 0.9684,                0.57378,                 1.0282,                0.90295,                0.73876,                0.82301,                0.50128,                 1.3651,                0.68941,                 1.2611,              0.0005405,              0.0005405,              0.0005405
                    174,                0.96147,                0.57235,                 1.0253,                0.88893,                0.74106,                0.81765,                 0.5081,                 1.3048,                0.69244,                  1.229,             0.00053638,             0.00053638,             0.00053638
                    175,                0.95512,                 0.5702,                 1.0269,                  0.902,                0.74064,                0.81744,                 0.5008,                  1.325,                0.69482,                 1.2309,             0.00053225,             0.00053225,             0.00053225
                    176,                0.94747,                 0.5658,                 1.0217,                0.87954,                0.74867,                 0.8175,                0.50376,                 1.3514,                0.71213,                 1.2461,             0.00052812,             0.00052812,             0.00052812
                    177,                0.93124,                0.54987,                 1.0138,                0.92873,                0.74052,                 0.8142,                0.49233,                 1.3671,                0.70934,                 1.2631,               0.000524,               0.000524,               0.000524
                    178,                0.95037,                0.56404,                 1.0267,                0.88277,                0.74404,                0.79823,                0.49481,                 1.3386,                0.71883,                 1.2529,             0.00051988,             0.00051988,             0.00051988
                    179,                0.95476,                0.57166,                 1.0221,                0.88317,                0.71609,                0.80143,                0.48344,                 1.3363,                0.72726,                 1.2347,             0.00051575,             0.00051575,             0.00051575
                    180,                0.97021,                 0.5732,                 1.0284,                0.94018,                0.71827,                0.81779,                0.49668,                  1.338,                0.68413,                 1.2471,             0.00051163,             0.00051163,             0.00051163
                    181,                 0.9397,                0.56068,                 1.0093,                0.89833,                0.74521,                0.80631,                0.48172,                 1.3412,                0.69884,                 1.2477,              0.0005075,              0.0005075,              0.0005075
                    182,                0.94141,                0.54985,                  1.019,                0.90127,                0.76005,                0.82269,                0.49227,                 1.3499,                0.69917,                 1.2326,             0.00050337,             0.00050337,             0.00050337
                    183,                0.94499,                0.55977,                 1.0172,                0.90999,                0.73622,                0.81799,                0.48706,                 1.4113,                0.70308,                 1.2668,             0.00049925,             0.00049925,             0.00049925
                    184,                0.93571,                0.54294,                 1.0069,                0.88468,                0.72208,                0.81906,                0.50273,                 1.3515,                0.70094,                 1.2635,             0.00049513,             0.00049513,             0.00049513
                    185,                0.92984,                0.55204,                 1.0138,                 0.9007,                0.72291,                 0.8155,                0.50771,                 1.3415,                0.69405,                 1.2431,               0.000491,               0.000491,               0.000491
                    186,                0.95638,                0.56253,                 1.0286,                0.87697,                0.74691,                0.80454,                0.50193,                 1.3423,                 0.6839,                 1.2163,             0.00048687,             0.00048687,             0.00048687
                    187,                0.90436,                 0.5368,                 1.0025,                0.91238,                0.73898,                0.81472,                0.48425,                 1.3705,                0.69381,                 1.2469,             0.00048275,             0.00048275,             0.00048275
                    188,                0.94047,                0.54318,                 1.0127,                0.92661,                0.73932,                 0.8227,                0.48967,                 1.3626,                0.68169,                 1.2528,             0.00047863,             0.00047863,             0.00047863
                    189,                0.89899,                 0.5349,                0.99856,                0.87951,                0.75868,                  0.825,                0.50197,                 1.3626,                0.66819,                 1.2542,              0.0004745,              0.0004745,              0.0004745
                    190,                0.92101,                0.55139,                 1.0085,                0.91368,                0.73894,                 0.8341,                0.51519,                 1.3534,                0.68127,                 1.2464,             0.00047038,             0.00047038,             0.00047038
                    191,                0.92039,                0.54498,                 1.0082,                0.92249,                0.74715,                 0.8196,                0.49977,                 1.3594,                0.69758,                 1.2559,             0.00046625,             0.00046625,             0.00046625
                    192,                0.93487,                0.55938,                 1.0119,                0.94372,                0.72341,                 0.8204,                0.49932,                 1.3562,                0.68099,                  1.251,             0.00046212,             0.00046212,             0.00046212
                    193,                0.93068,                0.53959,                  1.003,                0.89715,                0.75238,                0.82197,                0.50703,                 1.3283,                 0.6727,                 1.2463,               0.000458,               0.000458,               0.000458
                    194,                0.92346,                0.55028,                 1.0086,                0.93244,                0.75229,                0.82846,                0.51006,                 1.3222,                0.67349,                 1.2384,             0.00045388,             0.00045388,             0.00045388
                    195,                0.90696,                0.52919,                0.98605,                0.93012,                0.75341,                 0.8484,                0.51372,                 1.3406,                0.65235,                 1.2595,             0.00044975,             0.00044975,             0.00044975
                    196,                0.88628,                 0.5358,                0.99311,                0.93193,                0.72849,                0.83955,                0.50131,                 1.3619,                0.66769,                 1.2677,             0.00044563,             0.00044563,             0.00044563
                    197,                0.90939,                0.53645,                 1.0062,                0.91034,                  0.721,                0.80875,                0.49892,                 1.3376,                0.68879,                  1.248,              0.0004415,              0.0004415,              0.0004415
                    198,                 0.8943,                0.52439,                0.99092,                0.91232,                0.72059,                0.80841,                 0.4941,                 1.3509,                0.67567,                 1.2607,             0.00043738,             0.00043738,             0.00043738
                    199,                0.90978,                0.54943,                 1.0033,                0.94264,                0.72272,                0.82643,                 0.5051,                 1.3572,                0.66579,                 1.2786,             0.00043325,             0.00043325,             0.00043325
                    200,                0.91227,                0.53055,                0.99893,                0.92215,                0.72353,                   0.82,                0.48847,                 1.3423,                0.68947,                 1.2501,             0.00042912,             0.00042912,             0.00042912
                    201,                0.89526,                0.53969,                 1.0041,                 0.9162,                0.72307,                0.82456,                0.49927,                 1.3467,                0.68466,                 1.2415,               0.000425,               0.000425,               0.000425
                    202,                0.91658,                0.53382,                  1.012,                0.90338,                0.74431,                0.82558,                0.50289,                 1.3656,                0.67967,                 1.2592,             0.00042087,             0.00042087,             0.00042087
                    203,                0.90035,                0.53928,                0.99653,                0.90062,                0.72263,                0.82115,                 0.5056,                 1.3314,                0.68227,                 1.2485,             0.00041675,             0.00041675,             0.00041675
                    204,                0.91192,                  0.551,                 1.0091,                0.93582,                0.72926,                0.82842,                0.51249,                  1.332,                0.67625,                 1.2518,             0.00041263,             0.00041263,             0.00041263
                    205,                0.93979,                0.54922,                  1.012,                0.91546,                0.74386,                 0.8269,                0.51116,                 1.3505,                 0.6823,                 1.2638,              0.0004085,              0.0004085,              0.0004085
                    206,                0.87625,                0.52953,                 1.0043,                0.94572,                0.72757,                0.82731,                0.50671,                 1.3432,                0.66832,                 1.2646,             0.00040438,             0.00040438,             0.00040438
                    207,                0.90069,                0.53672,                0.99506,                0.93388,                0.72855,                0.81372,                0.51857,                 1.3414,                0.67497,                 1.2572,             0.00040025,             0.00040025,             0.00040025
                    208,                0.87053,                0.53005,                0.99232,                0.88546,                0.71758,                0.80614,                0.50135,                 1.3349,                0.67327,                  1.263,             0.00039613,             0.00039613,             0.00039613
                    209,                0.86181,                 0.5098,                0.98088,                0.92228,                 0.7456,                0.82292,                0.50589,                 1.3261,                0.65209,                 1.2408,               0.000392,               0.000392,               0.000392
                    210,                0.86562,                0.52076,                 1.0004,                0.93561,                0.72054,                0.82142,                0.50181,                 1.3462,                0.68533,                  1.247,             0.00038788,             0.00038788,             0.00038788
                    211,                  0.891,                0.52066,                0.99266,                0.89389,                0.73917,                0.82046,                0.49895,                 1.3565,                 0.6769,                 1.2705,             0.00038375,             0.00038375,             0.00038375
                    212,                0.86762,                0.51361,                0.97915,                0.93141,                0.74024,                0.81407,                0.50061,                 1.3276,                0.65681,                 1.2482,             0.00037962,             0.00037962,             0.00037962
                    213,                0.86958,                0.51256,                0.97852,                0.94009,                0.71895,                0.81483,                0.50577,                  1.332,                0.69702,                 1.2516,              0.0003755,              0.0003755,              0.0003755
                    214,                0.90387,                0.54049,                 1.0024,                0.91525,                0.73239,                0.81392,                0.50773,                 1.3149,                0.68095,                 1.2441,             0.00037138,             0.00037138,             0.00037138
                    215,                0.87215,                0.51634,                0.99298,                0.92625,                0.73867,                0.81965,                0.51568,                 1.2951,                0.66915,                 1.2294,             0.00036725,             0.00036725,             0.00036725
                    216,                0.86173,                0.50646,                0.99227,                0.95151,                0.73202,                0.83155,                0.52418,                 1.2806,                0.66179,                 1.2281,             0.00036313,             0.00036313,             0.00036313
                    217,                0.88221,                0.52381,                 1.0038,                  0.872,                0.76663,                0.81714,                0.50474,                 1.3004,                0.65701,                 1.2412,               0.000359,               0.000359,               0.000359
                    218,                0.86648,                0.52335,                 0.9932,                0.88986,                0.74941,                0.82014,                0.51412,                 1.2795,                0.66583,                 1.2252,             0.00035487,             0.00035487,             0.00035487
                    219,                0.86502,                0.51669,                0.98609,                0.92906,                 0.7363,                0.81609,                0.51334,                 1.2951,                0.67085,                 1.2339,             0.00035075,             0.00035075,             0.00035075
                    220,                0.87925,                0.51922,                0.98559,                0.86871,                 0.7667,                0.81908,                0.50152,                 1.2882,                 0.6565,                 1.2268,             0.00034663,             0.00034663,             0.00034663
                    221,                0.86743,                0.51979,                0.99033,                0.92865,                0.73164,                0.82004,                 0.5097,                 1.3085,                0.64765,                 1.2488,              0.0003425,              0.0003425,              0.0003425
                    222,                0.83664,                0.49761,                0.97302,                0.92598,                0.74109,                0.83066,                0.52068,                 1.2974,                0.64404,                 1.2214,             0.00033838,             0.00033838,             0.00033838
                    223,                0.84902,                0.50351,                0.96916,                0.92795,                0.73812,                0.82619,                0.51154,                 1.3104,                0.66995,                  1.234,             0.00033425,             0.00033425,             0.00033425
                    224,                0.87927,                0.52322,                0.98574,                0.95088,                0.70695,                0.82009,                0.50574,                 1.3128,                0.65958,                 1.2214,             0.00033013,             0.00033013,             0.00033013
                    225,                0.86822,                0.52465,                0.98136,                0.93211,                0.72877,                0.82069,                0.49397,                 1.3158,                0.66648,                 1.2439,               0.000326,               0.000326,               0.000326
                    226,                0.86141,                0.51765,                0.98008,                0.94013,                0.71497,                0.81534,                0.50228,                 1.3157,                0.68385,                 1.2403,             0.00032188,             0.00032188,             0.00032188
                    227,                0.86628,                0.52354,                0.99161,                0.89863,                0.75385,                0.81348,                0.50232,                 1.3089,                0.69485,                 1.2303,             0.00031775,             0.00031775,             0.00031775
                    228,                0.85636,                0.50276,                0.98239,                0.91753,                0.74163,                0.81507,                0.50946,                 1.2834,                0.66113,                 1.2109,             0.00031362,             0.00031362,             0.00031362
                    229,                0.85458,                0.50076,                0.97465,                0.91919,                0.73732,                0.81287,                0.51375,                 1.2899,                0.66445,                 1.2237,              0.0003095,              0.0003095,              0.0003095
                    230,                0.85212,                0.49655,                0.97029,                0.91731,                0.74072,                0.82105,                0.49963,                 1.2949,                0.65295,                 1.2317,             0.00030538,             0.00030538,             0.00030538
                    231,                0.83049,                0.50128,                0.98176,                0.90742,                0.74502,                0.82572,                0.51225,                 1.2977,                0.65973,                 1.2284,             0.00030125,             0.00030125,             0.00030125
                    232,                0.84806,                0.49591,                0.97741,                0.90604,                 0.7446,                 0.8246,                 0.5058,                 1.3195,                0.66526,                 1.2347,             0.00029713,             0.00029713,             0.00029713
                    233,                0.84384,                0.50308,                0.97296,                0.90374,                 0.7363,                0.81459,                 0.4937,                 1.3265,                0.67506,                 1.2336,               0.000293,               0.000293,               0.000293
                    234,                0.84517,                0.50572,                0.97577,                0.93102,                0.72691,                0.82269,                0.50139,                 1.3136,                0.66696,                 1.2361,             0.00028888,             0.00028888,             0.00028888
                    235,                 0.8357,                 0.4962,                0.97441,                0.94353,                 0.7265,                0.83042,                0.50828,                 1.3294,                 0.6681,                 1.2503,             0.00028475,             0.00028475,             0.00028475
                    236,                0.80218,                0.48565,                0.95531,                0.86624,                0.74688,                 0.8217,                0.51087,                 1.3261,                0.65884,                 1.2372,             0.00028063,             0.00028063,             0.00028063
                    237,                0.83381,                 0.5082,                0.97525,                0.92603,                0.73359,                0.82708,                 0.5018,                 1.3177,                0.65109,                 1.2392,              0.0002765,              0.0002765,              0.0002765
                    238,                0.83657,                0.50151,                0.97696,                0.94718,                 0.7047,                0.82981,                 0.5214,                 1.2938,                0.64848,                  1.229,             0.00027237,             0.00027237,             0.00027237
                    239,                0.84783,                0.50663,                0.99843,                0.93348,                0.72239,                0.82551,                0.51449,                 1.3109,                0.65571,                 1.2391,             0.00026825,             0.00026825,             0.00026825
                    240,                0.84866,                0.50022,                 0.9803,                0.92741,                0.74471,                0.82235,                0.51338,                 1.2919,                0.64415,                 1.2329,             0.00026413,             0.00026413,             0.00026413
                    241,                0.82769,                0.50128,                0.97281,                0.90812,                 0.7619,                0.82741,                0.51727,                 1.2746,                0.64246,                 1.2216,                0.00026,                0.00026,                0.00026
                    242,                0.83925,                0.49561,                0.97555,                0.92184,                 0.7144,                0.81751,                0.50551,                 1.2838,                0.64247,                 1.2156,             0.00025587,             0.00025587,             0.00025587
                    243,                0.81325,                0.48303,                0.96618,                0.93194,                0.71316,                0.82644,                0.50572,                 1.3022,                0.65286,                 1.2245,             0.00025175,             0.00025175,             0.00025175
                    244,                0.79568,                0.47952,                0.94959,                 0.8723,                0.74757,                0.81743,                0.50627,                 1.2935,                0.65891,                 1.2298,             0.00024762,             0.00024762,             0.00024762
                    245,                0.83258,                0.49527,                0.96484,                0.90877,                0.74373,                0.81607,                0.51554,                 1.2855,                0.66698,                 1.2236,              0.0002435,              0.0002435,              0.0002435
                    246,                0.83198,                0.49368,                0.96258,                0.89423,                0.76182,                0.82425,                0.51084,                 1.2982,                0.65854,                 1.2145,             0.00023938,             0.00023938,             0.00023938
                    247,                0.83163,                0.48973,                 0.9693,                0.96314,                0.73477,                0.82995,                0.51424,                 1.2934,                0.65724,                 1.2276,             0.00023525,             0.00023525,             0.00023525
                    248,                0.82595,                0.49015,                0.96327,                0.94551,                0.73938,                0.83194,                0.51711,                   1.29,                0.64611,                 1.2267,             0.00023112,             0.00023112,             0.00023112
                    249,                0.82342,                0.49152,                0.95733,                0.94524,                0.72695,                0.82856,                0.50905,                 1.3077,                0.64422,                 1.2219,               0.000227,               0.000227,               0.000227
                    250,                0.80282,                0.48273,                0.95918,                0.92348,                0.73999,                0.82896,                0.51452,                 1.2893,                0.63504,                 1.2182,             0.00022288,             0.00022288,             0.00022288
                    251,                 0.7999,                0.48535,                0.95915,                0.96042,                0.72246,                0.83075,                0.51716,                 1.3032,                0.64373,                 1.2304,             0.00021875,             0.00021875,             0.00021875
                    252,                0.82654,                 0.5017,                0.96564,                0.89031,                 0.7506,                0.82991,                 0.5129,                 1.3134,                0.64497,                 1.2306,             0.00021462,             0.00021462,             0.00021462
                    253,                0.82684,                0.48986,                 0.9639,                0.91365,                 0.7529,                 0.8262,                 0.5084,                 1.3135,                 0.6566,                 1.2236,              0.0002105,              0.0002105,              0.0002105
                    254,                0.80136,                0.47391,                0.96097,                0.94906,                0.73011,                0.82424,                0.51618,                 1.3095,                0.65839,                 1.2204,             0.00020637,             0.00020637,             0.00020637
                    255,                0.80574,                0.48145,                0.95811,                 0.9524,                0.73107,                0.82583,                0.52115,                  1.298,                0.64826,                 1.2196,             0.00020225,             0.00020225,             0.00020225
                    256,                0.78706,                 0.4717,                0.94718,                0.94091,                0.74364,                0.83253,                0.52728,                 1.2766,                0.63246,                 1.2044,             0.00019813,             0.00019813,             0.00019813
                    257,                0.81529,                0.50034,                  0.974,                0.93026,                0.72857,                0.82787,                0.52204,                 1.2875,                 0.6413,                 1.2165,               0.000194,               0.000194,               0.000194
                    258,                0.79401,                0.47525,                0.95681,                0.88433,                0.73348,                0.82287,                0.51628,                 1.3081,                0.64793,                 1.2348,             0.00018987,             0.00018987,             0.00018987
                    259,                0.81704,                0.49359,                 0.9636,                0.92108,                0.73496,                0.82032,                0.50845,                 1.2905,                0.63843,                 1.2321,             0.00018575,             0.00018575,             0.00018575
                    260,                0.79526,                0.47482,                0.95318,                0.90568,                0.73752,                0.81993,                0.51847,                 1.2882,                0.64063,                 1.2223,             0.00018163,             0.00018163,             0.00018163
                    261,                0.78498,                0.46457,                0.94808,                0.88263,                0.75253,                0.81415,                0.51583,                 1.3012,                0.65315,                  1.223,              0.0001775,              0.0001775,              0.0001775
                    262,                0.79764,                0.47366,                0.95497,                0.92939,                0.73975,                0.82139,                0.51646,                 1.3055,                0.64664,                 1.2372,             0.00017338,             0.00017338,             0.00017338
                    263,                0.79931,                0.48071,                0.96251,                0.93273,                0.74082,                0.82529,                0.51858,                 1.2941,                0.65162,                 1.2242,             0.00016925,             0.00016925,             0.00016925
                    264,                0.77545,                0.47564,                0.95184,                0.92601,                0.73667,                0.82306,                  0.517,                 1.2804,                0.64572,                 1.2238,             0.00016512,             0.00016512,             0.00016512
                    265,                0.81174,                0.48399,                0.97586,                 0.9351,                0.73236,                0.82046,                0.51262,                 1.2968,                0.65512,                 1.2291,               0.000161,               0.000161,               0.000161
                    266,                0.81622,                0.48068,                0.96344,                0.91211,                0.74167,                0.81911,                0.51207,                 1.2877,                0.65426,                 1.2271,             0.00015688,             0.00015688,             0.00015688
                    267,                0.77017,                0.46198,                0.94608,                0.92778,                0.73317,                0.82193,                0.52365,                 1.2813,                0.65162,                 1.2242,             0.00015275,             0.00015275,             0.00015275
                    268,                0.77756,                 0.4731,                0.94688,                 0.9132,                  0.748,                0.82744,                0.51961,                 1.3001,                0.64189,                 1.2395,             0.00014862,             0.00014862,             0.00014862
                    269,                0.80579,                0.47797,                0.94777,                0.93509,                0.73963,                0.83046,                0.52285,                 1.3087,                0.64284,                 1.2513,              0.0001445,              0.0001445,              0.0001445
                    270,                0.79191,                0.47348,                0.94798,                 0.9215,                0.73684,                0.82435,                0.51529,                  1.301,                0.64087,                 1.2287,             0.00014038,             0.00014038,             0.00014038
                    271,                0.80218,                 0.4714,                0.96108,                0.91698,                0.72508,                0.82271,                0.51402,                 1.2933,                 0.6566,                 1.2281,             0.00013625,             0.00013625,             0.00013625
                    272,                0.77821,                0.46664,                0.94682,                0.92551,                0.73891,                0.82409,                0.50832,                 1.2952,                0.65839,                 1.2288,             0.00013212,             0.00013212,             0.00013212
                    273,                0.77196,                0.46331,                0.95251,                0.89839,                0.75707,                0.82429,                0.51912,                 1.2924,                0.64549,                 1.2229,               0.000128,               0.000128,               0.000128
                    274,                0.77475,                0.47186,                0.95433,                0.89008,                 0.7555,                0.82721,                0.52308,                 1.2885,                0.64234,                 1.2251,             0.00012387,             0.00012387,             0.00012387
                    275,                0.79602,                0.47806,                0.95949,                0.94347,                0.72715,                0.82836,                0.51571,                 1.2962,                0.64881,                 1.2326,             0.00011975,             0.00011975,             0.00011975
                    276,                 0.7912,                0.46437,                0.95789,                0.94769,                0.72625,                0.82706,                0.51511,                 1.2895,                0.64301,                 1.2291,             0.00011563,             0.00011563,             0.00011563
                    277,                0.78313,                0.46632,                0.95385,                0.92785,                 0.7365,                0.82591,                0.51609,                 1.2852,                0.64149,                  1.223,              0.0001115,              0.0001115,              0.0001115
                    278,                0.76243,                0.45776,                0.94308,                0.93371,                0.73219,                0.82848,                0.51567,                 1.2908,                0.63617,                 1.2263,             0.00010737,             0.00010737,             0.00010737
                    279,                0.77305,                0.46495,                0.95016,                0.92702,                0.73756,                0.82946,                0.52203,                 1.2915,                0.64829,                 1.2152,             0.00010325,             0.00010325,             0.00010325
                    280,                0.78898,                0.48255,                0.95396,                0.92583,                0.74946,                0.82774,                0.51949,                  1.292,                0.63654,                 1.2184,             9.9125e-05,             9.9125e-05,             9.9125e-05
                    281,                0.78797,                0.46893,                0.95559,                0.92353,                0.74946,                0.82622,                0.51481,                 1.3095,                0.64468,                 1.2322,                9.5e-05,                9.5e-05,                9.5e-05
                    282,                 0.7731,                0.46379,                0.94053,                0.92025,                0.73239,                0.82709,                0.51366,                 1.3066,                0.65449,                 1.2216,             9.0875e-05,             9.0875e-05,             9.0875e-05
                    283,                0.76064,                0.45658,                0.94303,                0.93427,                0.73192,                0.82604,                0.52046,                 1.2859,                0.65198,                 1.2144,              8.675e-05,              8.675e-05,              8.675e-05
                    284,                0.76907,                0.46422,                0.95115,                0.91734,                0.74174,                0.82558,                 0.5149,                 1.3021,                0.65314,                 1.2262,             8.2625e-05,             8.2625e-05,             8.2625e-05
                    285,                0.76943,                0.46417,                0.94572,                0.93346,                0.72031,                0.82385,                0.51481,                 1.2861,                0.64612,                 1.2192,               7.85e-05,               7.85e-05,               7.85e-05
                    286,                0.76168,                0.46385,                0.95044,                0.92274,                0.73632,                0.82068,                 0.5127,                 1.2839,                0.64071,                 1.2181,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    287,                0.75215,                0.45499,                0.93551,                0.89385,                0.73684,                0.81764,                0.51513,                 1.2789,                0.64982,                 1.2165,              7.025e-05,              7.025e-05,              7.025e-05
                    288,                0.77536,                0.46959,                0.94754,                0.91645,                0.73134,                0.82124,                0.51694,                 1.2764,                0.65289,                 1.2123,             6.6125e-05,             6.6125e-05,             6.6125e-05
                    289,                0.76975,                0.45186,                0.94213,                0.91153,                0.74685,                0.82302,                0.51252,                 1.2841,                0.64756,                  1.214,                6.2e-05,                6.2e-05,                6.2e-05
                    290,                0.75998,                0.45748,                0.95147,                0.93906,                0.73293,                 0.8251,                0.51858,                 1.2755,                0.63725,                  1.207,             5.7875e-05,             5.7875e-05,             5.7875e-05
