                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.584,                 1.1428,                 1.4152,                0.76942,                0.57989,                0.66403,                0.35004,                 1.6873,                 1.1251,                 1.4984,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.5787,                 1.1167,                 1.4163,                0.78271,                0.60758,                 0.6813,                0.34472,                 1.6587,                 1.0536,                 1.4714,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.5675,                  1.133,                 1.3945,                0.81576,                0.57518,                0.66893,                0.35058,                 1.6406,                 1.1513,                 1.4442,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.5585,                 1.1231,                 1.3764,                0.78802,                0.62292,                0.69152,                0.36445,                 1.6231,                 1.0932,                 1.4257,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.5658,                 1.1181,                 1.3753,                0.75872,                0.61573,                0.67271,                0.33676,                 1.6306,                 1.1122,                 1.4662,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.5111,                 1.1019,                 1.3625,                0.73626,                0.59857,                0.66635,                0.35422,                 1.6373,                 1.1301,                 1.4728,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.5212,                  1.066,                 1.3491,                0.83547,                 0.5779,                0.68417,                0.36703,                 1.6015,                 1.0539,                 1.4221,               0.001085,               0.001085,               0.001085
                     42,                 1.5058,                 1.0568,                 1.3448,                0.83431,                0.59502,                0.69261,                0.36092,                 1.6044,                 1.0476,                 1.4298,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.4972,                 1.0487,                 1.3544,                 0.8265,                 0.6467,                0.71318,                0.39874,                 1.5075,                0.97182,                 1.3924,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.4817,                 1.0011,                 1.3289,                0.87168,                0.58238,                0.68504,                0.39856,                 1.4744,                 1.0873,                 1.3521,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.4636,                 1.0035,                 1.3112,                  0.785,                0.58467,                0.67811,                0.37626,                 1.5746,                 1.0324,                 1.3873,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.4286,                0.98885,                 1.2862,                0.76545,                0.70776,                0.73358,                0.39465,                 1.5291,                0.94963,                 1.3624,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.4406,                0.99022,                 1.3021,                0.76802,                0.64422,                 0.6742,                0.39451,                 1.4855,                 1.0488,                 1.3459,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.4013,                0.94812,                 1.2864,                0.78139,                0.63546,                0.70787,                0.39496,                 1.5301,                0.99495,                 1.4036,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.4418,                0.98142,                  1.318,                0.76936,                 0.6391,                0.65592,                0.36197,                 1.5627,                 1.2769,                 1.3956,               0.001052,               0.001052,               0.001052
                     50,                 1.4236,                0.98156,                 1.2965,                0.89121,                0.65381,                 0.7399,                0.41389,                 1.5082,                 0.9168,                  1.366,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.4236,                  0.952,                 1.3046,                0.83686,                0.63248,                0.70059,                0.38347,                 1.5244,                 1.0726,                 1.3465,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.4022,                0.94653,                 1.2701,                0.75922,                0.66003,                0.70436,                 0.3874,                 1.5396,                 1.0218,                 1.3666,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.4173,                0.90744,                 1.2753,                0.83437,                 0.6244,                0.71298,                0.41355,                 1.4654,                0.98279,                 1.3257,              0.0010355,              0.0010355,              0.0010355
                     54,                  1.384,                0.90965,                 1.2569,                0.85232,                0.65994,                0.73403,                0.41716,                 1.4436,                0.90423,                  1.325,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.3338,                0.90898,                 1.2409,                0.82987,                0.65966,                  0.725,                0.41049,                 1.5101,                0.93859,                 1.3423,              0.0010273,              0.0010273,              0.0010273
                     56,                 1.3882,                0.91788,                 1.2746,                0.86634,                0.66896,                 0.7413,                0.41929,                 1.4633,                0.89337,                 1.3206,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.3642,                0.90277,                  1.251,                0.80051,                0.60617,                0.69455,                0.39344,                  1.531,                0.98455,                 1.3541,               0.001019,               0.001019,               0.001019
                     58,                 1.3687,                0.91947,                 1.2606,                0.90575,                 0.6588,                0.75628,                0.43827,                 1.4593,                0.88087,                 1.3198,              0.0010149,              0.0010149,              0.0010149
                     59,                 1.3663,                0.90185,                  1.252,                0.81766,                0.66158,                0.74856,                0.42413,                 1.4809,                0.91238,                 1.3207,              0.0010107,              0.0010107,              0.0010107
                     60,                 1.3673,                0.88149,                 1.2543,                0.88236,                0.66687,                0.75997,                0.43806,                 1.4547,                0.96029,                 1.3285,              0.0010066,              0.0010066,              0.0010066
                     61,                 1.3947,                0.91353,                 1.2601,                0.89081,                0.65179,                0.73431,                0.41531,                 1.5076,                0.93246,                 1.3532,              0.0010025,              0.0010025,              0.0010025
                     62,                  1.397,                0.89952,                 1.2832,                0.88907,                0.64096,                0.74876,                 0.4243,                 1.5005,                0.90887,                 1.3531,             0.00099837,             0.00099837,             0.00099837
                     63,                 1.3193,                0.86314,                 1.2192,                0.83264,                0.68899,                0.75367,                0.42861,                 1.5317,                0.91448,                 1.3546,             0.00099425,             0.00099425,             0.00099425
                     64,                 1.3259,                0.86478,                 1.2387,                0.87187,                0.67236,                0.75171,                0.42628,                 1.5001,                0.88961,                 1.3454,             0.00099013,             0.00099013,             0.00099013
                     65,                 1.3381,                0.86783,                 1.2112,                0.83814,                0.63402,                0.71396,                0.40388,                 1.4893,                0.97189,                  1.341,               0.000986,               0.000986,               0.000986
                     66,                 1.3747,                0.87797,                 1.2517,                0.77198,                0.61032,                 0.6713,                0.39058,                 1.5581,                 1.0404,                 1.3667,             0.00098187,             0.00098187,             0.00098187
                     67,                 1.3226,                0.86139,                 1.2271,                0.81925,                  0.684,                0.72406,                0.41147,                 1.4848,                0.93301,                  1.323,             0.00097775,             0.00097775,             0.00097775
                     68,                 1.3182,                0.82385,                  1.234,                0.83166,                0.71411,                0.75725,                0.43181,                 1.5216,                0.83651,                 1.3374,             0.00097362,             0.00097362,             0.00097362
                     69,                 1.2782,                0.81845,                 1.2013,                0.82919,                0.71212,                0.75994,                0.44252,                 1.4396,                0.87881,                 1.3099,              0.0009695,              0.0009695,              0.0009695
                     70,                  1.242,                 0.7996,                 1.1641,                0.92421,                0.68612,                0.77212,                0.44392,                 1.4396,                0.80353,                 1.3104,             0.00096537,             0.00096537,             0.00096537
                     71,                 1.2778,                0.80875,                 1.1904,                0.84518,                0.70957,                0.77756,                0.43877,                 1.4754,                0.85674,                 1.3338,             0.00096125,             0.00096125,             0.00096125
                     72,                 1.2583,                0.82509,                 1.1993,                0.90407,                0.62397,                0.74757,                0.41127,                 1.5512,                0.92322,                  1.354,             0.00095712,             0.00095712,             0.00095712
                     73,                  1.297,                0.82661,                  1.195,                 0.8667,                0.66508,                0.75955,                0.43306,                 1.5017,                0.85823,                 1.3593,               0.000953,               0.000953,               0.000953
                     74,                 1.2588,                0.78473,                 1.1952,                0.88355,                0.68953,                0.76769,                0.44615,                 1.4683,                0.83158,                 1.3203,             0.00094887,             0.00094887,             0.00094887
                     75,                 1.2447,                0.79111,                 1.1896,                0.89255,                0.68904,                0.77576,                0.44122,                 1.4674,                0.80327,                 1.3175,             0.00094475,             0.00094475,             0.00094475
                     76,                 1.3054,                0.81226,                 1.2035,                 0.8687,                0.71634,                0.78721,                0.46917,                 1.4178,                  0.807,                 1.3115,             0.00094062,             0.00094062,             0.00094062
